Variable,Coef.,Std. Err.,t,P>|t|,[0.025,0.975]
const,49540.0,5685.26,8.71,0.0,38400.0,60700.0
Context,-342.23,187.79,-1.82,0.068,-710.37,25.9
Post,920.13,17100.0,0.05,0.957,-32600.0,34400.0
Context_x_Post,22.28,563.43,0.04,0.968,-1082.25,1126.8
Zone_2,-261.02,5908.63,-0.04,0.965,-11800.0,11300.0
Zone_3,9731.45,6029.42,1.61,0.107,-2088.34,21600.0
Zone_4,26350.0,6205.32,4.25,0.0,14200.0,38500.0
Zone_5,47380.0,6264.16,7.56,0.0,35100.0,59700.0
Context_x_Zone_2,342.54,194.19,1.76,0.078,-38.14,723.22
Context_x_Zone_3,591.16,199.11,2.97,0.003,200.84,981.48
Context_x_Zone_4,1136.53,204.05,5.57,0.0,736.51,1536.54
Context_x_Zone_5,1808.07,224.37,8.06,0.0,1368.23,2247.91
Post_x_Zone_2,1646.59,17700.0,0.09,0.926,-33100.0,36400.0
Post_x_Zone_3,-1803.72,18000.0,-0.1,0.92,-37200.0,33600.0
Post_x_Zone_4,-7079.19,18600.0,-0.38,0.704,-43500.0,29400.0
Post_x_Zone_5,-2830.65,18700.0,-0.15,0.879,-39400.0,33800.0
Context_x_Post_x_Zone_2,-85.56,581.92,-0.15,0.883,-1226.34,1055.21
Context_x_Post_x_Zone_3,-30.55,595.84,-0.05,0.959,-1198.62,1137.51
Context_x_Post_x_Zone_4,58.48,611.02,0.1,0.924,-1139.33,1256.28
Context_x_Post_x_Zone_5,130.39,662.58,0.2,0.844,-1168.49,1429.27
